epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,4896.61,0.68732,0.63743,0.00889,0.72016,0.69472,0.72901,0.61964,0.64577,0.77034,0.0102,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5028.49,0.70008,0.63338,0.00916,0.60198,0.75968,0.73015,0.62165,0.64231,0.81998,0.01001,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5160.82,0.67825,0.6167,0.00888,0.69181,0.72758,0.73797,0.63034,0.63427,0.79905,0.00949,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5293.66,0.67391,0.60357,0.00862,0.64977,0.77237,0.74185,0.63695,0.63778,0.78633,0.00967,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5426.62,0.67898,0.60577,0.00871,0.63093,0.74545,0.73378,0.6258,0.63824,0.79184,0.00978,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5559.36,0.66993,0.57942,0.00871,0.7065,0.71914,0.72255,0.61395,0.63936,0.80668,0.00975,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5691.84,0.66666,0.58353,0.00863,0.69115,0.70421,0.73032,0.62387,0.63859,0.81706,0.00963,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5824.62,0.66105,0.58795,0.00848,0.65265,0.7376,0.73126,0.62423,0.63717,0.8262,0.0096,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5957.05,0.66138,0.56663,0.00844,0.74742,0.67365,0.73206,0.62697,0.63336,0.84656,0.00945,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6089.75,0.65649,0.56922,0.00842,0.70481,0.67385,0.71891,0.61549,0.63669,0.85314,0.00948,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6222.01,0.65532,0.56381,0.00843,0.69115,0.69033,0.71684,0.61106,0.63911,0.82429,0.00947,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6354.67,0.64945,0.57349,0.00837,0.67036,0.69958,0.71278,0.60426,0.63597,0.84838,0.00931,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6486.7,0.64754,0.56138,0.0082,0.73607,0.66753,0.71771,0.6118,0.62932,0.84412,0.00916,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6619.09,0.64611,0.53972,0.00826,0.73834,0.70091,0.73378,0.62749,0.63105,0.84286,0.00922,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
